id,currency,symbol,name,logo_url,status,price,price_date,price_timestamp,circulating_supply,max_supply,market_cap,market_cap_dominance,num_exchanges,num_pairs,num_pairs_unmapped,first_candle,first_trade,first_order_book,rank,rank_delta,high,high_timestamp,1d.volume,1d.price_change,1d.price_change_pct,1d.volume_change,1d.volume_change_pct,1d.market_cap_change,1d.market_cap_change_pct,platform_currency,first_priced_at
LTC,LTC,LTC,Litecoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ltc.svg,active,51.50684718,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,71413571,84000000,3678287874,0.0038,392,4006,665,2013-03-25T00:00:00Z,2013-03-25T00:00:00Z,2018-08-29T00:00:00Z,23,0,388.78515179,2021-05-09T00:00:00Z,418789642.01,-0.18288421,-0.0035,-35920189.90,-0.0790,-12670803.02,-0.0034,,
ATOM,ATOM,ATOM,Cosmos,https://nomics-api.s3.us-east-2.amazonaws.com/static/images/currencies/atom.jpg,active,12.32603560,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,292586164,,3606427471,0.0038,143,510,119,2017-07-09T00:00:00Z,2019-04-22T00:00:00Z,2019-03-14T00:00:00Z,24,0,44.15073411,2021-09-19T00:00:00Z,482921624.26,0.067547115,0.0055,115945397.05,0.3159,19763351.23,0.0055,,
LINK,LINK,LINK,ChainLink,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/LINK.jpg,active,7.08055809,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,491599970,1000000000,3480802149,0.0036,293,3602,67,2017-07-09T00:00:00Z,2017-09-28T00:00:00Z,2018-08-29T00:00:00Z,25,0,52.35749977,2021-05-09T00:00:00Z,496967581.51,-0.17202466,-0.0237,12564632.13,0.0259,-84567319.09,-0.0237,ETH,
ETC,ETC,ETC,Ethereum Classic,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/etc.svg,active,23.74618324,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,137442042,210700000,3263723909,0.0034,190,898,2,2016-07-24T00:00:00Z,2016-07-24T00:00:00Z,2018-08-29T00:00:00Z,26,0,134.84230166,2021-05-06T00:00:00Z,5947616353.10,0.077054842,0.0033,954630258.91,0.1912,10977329.64,0.0034,,
UNI,UNI,UNI,Uniswap Protocol Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/UNISWAP.svg,active,6.49304780,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,472511147,1000000000,3068037461,0.0032,214,1162,116,2019-06-03T00:00:00Z,2020-09-17T00:00:00Z,2019-10-11T00:00:00Z,27,0,43.19970866,2021-05-04T00:00:00Z,254102872.40,0.12046455,0.0189,30177371.94,0.1348,56928491.38,0.0189,ETH,
XLM,XLM,XLM,Stellar,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/xlm.svg,active,0.11218488,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,25612443252,50001787564,2873328902,0.0030,208,712,113,2014-08-11T00:00:00Z,2014-08-11T00:00:00Z,2018-08-29T00:00:00Z,28,1,0.89932604,2018-01-03T00:00:00Z,93781191.75,-0.0018711773,-0.0164,4211691.36,0.0470,-47742636.96,-0.0163,XLM,
QNT,QNT,QNT,Quant,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/qnt.jpg,active,196.27781031,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,14544191,14612493,2854701916,0.0030,68,134,1,2018-06-25T00:00:00Z,2018-06-25T00:00:00Z,2019-01-29T00:00:00Z,29,-1,395.21235726,2021-09-10T00:00:00Z,254698915.76,-9.87550400,-0.0479,-59524284.34,-0.1894,-143631214.11,-0.0479,ETH,
CRO,CRO,CRO,Cronos,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/cro.jpg,active,0.10861550,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,25263013692,30263013692,2743954837,0.0029,90,381,161,2019-03-07T00:00:00Z,2019-03-08T00:00:00Z,2019-03-08T00:00:00Z,30,0,0.88839558,2021-11-23T00:00:00Z,45789756.03,-0.00051992241,-0.0048,-6328614.88,-0.1214,-13134806.98,-0.0048,ETH,
XMR,XMR,XMR,Monero,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/xmr.svg,active,147.79181166,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,18188963,,2688179769,0.0028,150,594,127,2014-05-19T00:00:00Z,2014-05-19T00:00:00Z,2018-08-29T00:00:00Z,31,0,484.65615412,2021-05-09T00:00:00Z,139142005.90,4.99636769,0.0350,43230112.28,0.4507,90940091.17,0.0350,,
NEAR,NEAR,NEAR,Near Protocol,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/NEAR.jpg,active,2.96981614,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,812579860,1000000000,2413212785,0.0025,96,238,227,2020-09-27T00:00:00Z,2020-10-14T00:00:00Z,2020-09-30T00:00:00Z,32,0,20.26125127,2022-01-14T00:00:00Z,758250974.21,-0.054112936,-0.0179,53976710.63,0.0766,-42815066.78,-0.0174,,2020-10-28T18:45:07.594685Z
